track_name,artist_name,popularity,danceability,energy,valence
從來不知道,Bii,0.24,0.36,0.35,0.16
從世界到我家,Phil Lam,0.16,0.72,0.68,0.65
後來的我們  電影《後來的我們》片名曲眼淚未乾版,Mayday,0.45,0.55,0.22,0.33
後來  Live,李曉東,0.34,0.47,0.31,0.23
幾分之幾  電影花甲大人轉男孩主題曲,Crowd Lu,0.62,0.52,0.34,0.42
幾億光年,Omoinotake,0.72,0.56,0.79,0.54
平面鏡,REOL,0.41,0.68,0.9,0.43
布団の中から出たくない,Uchikubi Gokumon Doukoukai,0.38,0.6,0.6,0.46
就這麼錯過  電視劇【翻牆的記憶】片尾曲,馬仕釗,0.32,0.42,0.35,0.2
對的人,Ada Zhuang,0.29,0.48,0.33,0.34
寶貝兒,Ella Koon,0.21,0.38,0.52,0.32
存·不存在,Tia Ray,0.18,0.4,0.48,0.18
子華說,Leo Ku,0.36,0.86,0.74,0.81
嫁給我,Adason Lo,0.23,0.66,0.51,0.54
如歌,張杰,0.45,0.39,0.41,0.43
如果我是你,Kenny Khoo,0.28,0.63,0.58,0.38
如初之光,Karen Mok,0.35,0.59,0.19,0.07
奉陪  完整版,Kelly Yu,0.45,0.32,0.52,0.11
奉陪  伴奏,Kelly Yu,0.28,0.41,0.46,0.12
奇奇怪怪 電視劇《1006的房客》插曲,Ruth Kueo,0.19,0.71,0.63,0.58
失重,Yisa Yu,0.28,0.46,0.42,0.3
天變地變情不變,Gin Lee,0.31,0.64,0.41,0.28
天地,Kris Wu,0.2,0.62,0.45,0.21
天下一品のテーマ,SILENT SIREN,0.41,0.5,0.94,0.8
天上ノ彼方,WagakkiBand,0.3,0.46,0.97,0.52
大陸仔,Ty,0.33,0.78,0.72,0.51
大丈夫  Play World Tour Live,Jolin Tsai,0.27,0.65,0.81,0.65
大丈夫,Supper Moment,0.33,0.55,0.35,0.2
夢裡花  Live,Angela Chang,0.31,0.3,0.53,0.26
夢想,Claude Debussy,0.16,0.35,0.03,0.1
夢不落雨林,LAY,0.42,0.79,0.88,0.78
夢の底にもぐって,Kikuo,0.24,0.64,0.39,0.52
夕凪通信,Kiyotaka Sugiyama,0.12,0.62,0.7,0.46
夏の在りか,H△G,0.34,0.59,0.91,0.64
声をきかせて  [BIGBANG JAPAN DOME TOUR 2017 LAST DANCE],BIGBANG,0.28,0.49,0.89,0.34
境遷,Cyndi Wang,0.29,0.49,0.34,0.37
圈套,肖懿航,0.11,0.55,0.82,0.36
因為曾經愛過 電影《決戰千王》推廣曲,Ariel Tsai,0.38,0.52,0.54,0.27
回到以前  劇集 棟仁的時光 片尾曲,HANA,0.36,0.61,0.55,0.38
單身狗,Hacken Lee,0.35,0.62,0.53,0.21
唱,Ado,0.7,0.62,0.98,0.74
周末玩具,The Life Journey,0.14,0.61,0.72,0.75
君のハートはマリンブルー,Kiyotaka Sugiyama,0.17,0.63,0.77,0.62
君のせいで,SHINee,0.3,0.6,0.87,0.63
君とプログレス,I1 Club,0.28,0.72,0.82,0.63
君だけの旅路 Re:boot Instrumental,Suara,0.1,0.48,0.82,0.56
君だけの旅路 Re:boot,Suara,0.27,0.58,0.82,0.62
君がいない街,WagakkiBand,0.31,0.41,0.94,0.45
名牌包,Ty,0.34,0.81,0.86,0.52
化身の獣,Do As Infinity,0.34,0.45,0.96,0.61
功成名就,Ty,0.4,0.75,0.68,0.67
別廢話,Tia Ray,0.14,0.57,0.74,0.36
初夢 feat 初音ミク,MusikM,0.18,0.65,0.84,0.34
凜冬將至 電視劇《1006的房客》片頭曲,潘裕文,0.24,0.63,0.73,0.79
冰傷,Kayee Tam,0.22,0.49,0.31,0.36
再愛,肖懿航,0.19,0.4,0.53,0.18
六角六片三角孔ねじれ正多面体ですか?,Kikuo,0.21,0.42,0.24,0.28
兩個人的同學會,Christine Fan,0.4,0.65,0.44,0.26
全副舞裝,Joey Yung,0.26,0.83,0.83,0.87
元彼女のみなさまへ,Koresawa,0.7,0.65,0.84,0.76
僕のこと,Mrs GREEN APPLE,0.67,0.44,0.71,0.45
催眠術,LAY,0.35,0.69,0.71,0.66
偽りのシンパシー  [Vocal:アイナ・ジ・エンドBiSH],Mondo Grosso,0.32,0.68,0.58,0.33
偽りのシンパシー  Vocal:アイナ・ジ・エンドBiSH,Mondo Grosso,0.41,0.73,0.52,0.22
假行僧  Live,Hua Chen Yu,0.35,0.29,0.17,0.04
